CD_UF;NM_UF;CD_MUNIC;NM_MUNIC;ID_LI;CD_LI;OCORRENCIA;NM_LI;CD_SETOR;SITUACAO;CD_SIT;CD_TIPO;CD_AGLOM;NM_AGLOM;CD_TI;TI_FUNAI;NM_TI;FASE;C_CR_FUNAI;N_CR_FUNAI;ALD_FUNAI;VAL_FUNAI;ALD_SIASI;VAL_SIASI;AMZ_LEG;LAT;LONG
26;Pernambuco;2614808;Tacaratu;2600036;2610042;1;Aldeia Indígena Barrocão Entre Serras;261480805000058;Rural;5;5;261480800037;Aldeia Indígena Barrocão Entre Serras;50107;11301;Entre Serras;Regularizada;30202001983;Baixo São Francisco;2083;2;47424;1;;-9.098008611125113;-38.19400844444444
26;Pernambuco;2608057;Jatobá;2600039;2610250;1;Aldeia Indígena Serrinha;260805705000026;Rural;5;5;260805700007;Aldeia Indígena Serrinha;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;1273;2;47602;1;;-9.110047944458463;-38.20721802777778
26;Pernambuco;2608057;Jatobá;2600042;2610057;1;Aldeia Indígena Pankaiwka;260805720000017;Rural;7;5;260805700025;Aldeia Indígena Pankaiwka;50766;62201;Fazenda Cristo Rei;Encaminhada RI;30202001983;Baixo São Francisco;3239;2;;;;-9.28036163890318;-38.17599163888889
26;Pernambuco;2608057;Jatobá;2600045;2610368;2;Aldeia Indígena Brejo dos Padres;260805705000027;Rural;5;5;260805700003;Aldeia Indígena Saco dos Barros;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;3239;2;;;;-9.122709250014042;-38.20287825
26;Pernambuco;2608057;Jatobá;2600047;2610016;1;Aldeia Indígena Morcego;260805705000035;Rural;7;5;260805700020;Aldeia Indígena Morcego;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;3239;2;;;;-9.13423538890295;-38.203943
26;Pernambuco;2615805;Tupanatinga;2600051;2610244;1;Aldeia Indígena Kapinawa Ponta da Várzea;261580505000033;Rural;5;5;261580500011;Aldeia Indígena Ponta da Várzea;6343;20901;Kapinawá;Regularizada;30202001969;Nordeste I;;;49347;1;;-8.593536888902102;-37.31118147222222
26;Pernambuco;2614808;Tacaratu;2600056;2610115;1;Aldeia Indígena Macacos;261480805000023;Rural;5;5;261480800012;Aldeia Indígena Macacos;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;459;2;51133;1;;-9.107807777791795;-38.187699111111115
26;Pernambuco;2608057;Jatobá;2600058;2610400;1;Aldeia Indígena Bem-Querer;260805705000013;Rural;5;5;260805700002;Aldeia Indígena Bem Querer de Cima;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;363;2;48004;1;;-9.141357972236287;-38.22398863888889
26;Pernambuco;2608057;Jatobá;2600061;2610400;2;Aldeia Indígena Bem-Querer;260805705000013;Rural;5;5;260805700002;Aldeia Indígena Bem Querer de Cima;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;363;2;48004;1;;-9.137240638902954;-38.22303488888889
26;Pernambuco;2610905;Pesqueira;2600062;2610225;2;Aldeia Indígena Pé de Serra do Nogueira;261090505000058;Rural;5;5;261090500019;Aldeia Indígena Pé de Serra do Nogueira;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;;;51388;1;;-8.276835222234936;-36.6956045
